stageid,site,treatment,burn,plotnum,transectnum,azimuth,slope,diameter,decayclass,thoushrlen,notes
1,crib,np,nb,7,1,0,18,7.9,4,10,
1,crib,np,nb,7,1,0,18,7.9,4,10,
1,crib,np,nb,7,1,0,18,23.9,3,10,
1,crib,np,nb,7,3,240,26,17.7,3,10,
1,crib,np,nb,7,3,240,26,9.4,4,10,
1,crib,np,nb,7,3,240,26,12.9,3,10,
1,crib,np,nb,7,3,240,26,11.0,3,10,
1,crib,np,nb,7,3,240,26,11.7,3,10,
1,crib,np,nb,7,3,240,26,22.8,3,10,
1,crib,np,nb,9,1,0,19,17.4,2,10,
1,crib,np,nb,9,2,120,26,8.4,5,10,in skid at 10m
1,dun,ls,b,10,1,330,31,23.0,5,10,deflected to avoid cut bank
1,dun,ls,b,10,2,120,24,12.7,5,10,
1,dun,ls,b,10,2,120,24,9.0,5,10,
1,dun,ls,b,10,2,120,24,12.0,4,10,
1,dun,ls,b,10,2,120,24,19.0,5,10,
1,dun,ls,b,10,2,120,24,9.0,4,10,
1,dun,ls,b,10,3,240,51,30.0,5,10,
1,dun,ls,b,10,3,240,51,36.0,5,10,
1,dun,ls,b,17,1,0,46,26.0,5,10,"transect runs on 120cm log, duff from ground, log pith not in"
1,dun,ls,b,17,1,0,46,20.0,5,10,"transect runs on 120cm log, duff from ground, log pith not in"
1,dun,ls,b,17,2,120,24,14.5,1,10,
1,dun,ls,b,17,2,120,24,11.5,3,10,
1,dun,ls,b,17,2,120,24,16.0,4,10,
1,dun,ls,b,17,2,120,24,10.0,3,10,
1,dun,ls,b,17,2,120,24,15.0,3,10,
1,dun,ls,b,17,2,120,24,20.0,5,10,
1,dun,ls,b,17,3,240,5,22.0,5,10,
1,dun,ls,b,2,1,0,42,8.6,3,10,
1,dun,ls,b,2,2,120,44,15.0,4,10,
1,dun,ls,b,2,2,120,44,13.0,5,10,
1,dun,ls,b,2,2,120,44,12.5,5,10,
1,dun,ls,b,2,2,120,44,12.0,4,10,
1,dun,ls,b,2,2,120,44,10.9,5,10,
1,dun,ls,b,2,2,120,44,8.8,3,10,
1,dun,ls,b,2,3,240,68,15.4,4,10,multiple large downed tanoak tops
1,dun,ls,b,2,3,240,68,17.4,4,10,multiple large downed tanoak tops
1,dun,ls,b,20,1,0,15,11.0,3,10,moss at 10m and 5m
1,dun,ls,b,20,1,0,15,44.0,5,10,moss at 10m and 5m
1,dun,ls,b,20,1,0,15,70.0,5,10,moss at 10m and 5m
