stageid,site,treatment,burn,plotnum,transectnum,azimuth,slope,metermark,depth,pctlitter,fbd,livewoody,deadwoody,woodyheight,liveherb,deadherb,herbheight,notes
1,dun,ls,b,7,3,240,54,5,4.0,90.0,26.0,30.0,0.0,0.4,0.0,0.0,,
1,dun,ls,b,7,3,240,54,10,3.0,90.0,17.0,3.0,0.0,0.2,0.5,0.0,0.1,
1,camp8,ls,b,8,1,0,29,5,3.0,90.0,20.0,10.0,0.5,0.8,40.0,1.0,0.2,
1,camp8,ls,b,8,1,0,29,10,16.0,80.0,12.0,3.0,0.5,0.6,60.0,10.0,0.5,
1,camp8,ls,b,8,2,120,53,5,50.0,30.0,20.0,30.0,10.0,1.2,3.0,0.5,0.3,
1,camp8,ls,b,8,2,120,53,10,13.0,90.0,15.0,0.5,0.5,0.8,1.0,0.5,0.5,
1,camp8,ls,b,8,3,240,13,5,8.0,50.0,12.0,30.0,1.0,1.3,1.0,0.5,0.1,
1,camp8,ls,b,8,3,240,13,10,13.0,80.0,19.0,20.0,0.5,1.6,0.0,0.0,,
1,camp8,m,nb,1,1,0,4,5,1.0,50.0,10.0,3.0,3.0,1.3,0.5,0.0,0.1,
1,camp8,m,nb,1,1,0,4,10,4.0,70.0,10.0,0.5,20.0,2.0,0.5,0.0,0.1,
1,camp8,m,nb,1,2,120,5,5,2.0,90.0,110.0,30.0,10.0,2.0,0.5,0.0,0.1,
1,camp8,m,nb,1,2,120,5,10,1.0,100.0,40.0,10.0,0.0,0.8,0.5,0.0,0.2,
1,camp8,m,nb,1,3,235,7,5,5.0,20.0,10.0,30.0,10.0,2.0,0.0,0.0,,
1,camp8,m,nb,1,3,235,7,10,1.0,100.0,5.0,30.0,3.0,1.7,0.5,0.0,0.1,
1,camp8,m,nb,10,1,0,38,5,7.0,20.0,,10.0,3.0,0.9,3.0,0.0,0.1,
1,camp8,m,nb,10,1,0,38,10,21.0,10.0,,20.0,3.0,1.0,0.0,0.0,,
1,camp8,m,nb,10,2,120,8,5,7.0,20.0,,3.0,0.0,0.3,10.0,3.0,0.6,in skid
1,camp8,m,nb,10,2,120,8,10,1.0,100.0,,0.5,0.0,0.5,10.0,0.5,0.2,in skid
